指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:金融交易:运用:存款:活期存款:住户部门,,,,,,,,,,,,,,,,,,,,15712,19789,19804,4952,20768,28884,16746,18711.67031
资金流量表:金融交易:运用:存款:活期存款:国内合计,,,,,,,,,,,,,,,,,,,,,,35451.87189,12364,,,53987,18200.4959
资金流量表:金融交易:运用:存款:定期存款:合计,,,,,,,,,,,,,,,,,,,,62307,71498,81239,74886,53635,64764,61411,96515.6095
资金流量表:金融交易:运用:存款:定期存款:非金融机构部门,,,,,,,,,,,,,,,,,,,,20200,21425,28110,19994,21601,31191,,22350.00103
资金流量表:金融交易:运用:存款:定期存款:政府部门,,,,,,,,,,,,,,,,,,,,10668,11243,17508,15523,7102,11978,13726,19532.48482
资金流量表:金融交易:运用:存款:定期存款:住户部门,,,,,,,,,,,,,,,,,,,,31440,38830,35621,39369,24932,21595,29513,54633.12365
资金流量表:金融交易:运用:存款:定期存款:国内合计,,,,,,,,,,,,,,,,,,,,,,81238.70285,74886,,,61411,96515.6095
资金流量表:金融交易:运用:存款:财政存款:合计,,,,,,,,,,,,,,,,,,,,-300,-1782,5766,5531,-914,805,5684,-596.214799
资金流量表:金融交易:运用:存款:财政存款:政府部门,,,,,,,,,,,,,,,,,,,,-300,-1782,55766,5531,-914,805,5684,-596.214799
资金流量表:金融交易:运用:存款:财政存款:国内合计,,,,,,,,,,,,,,,,,,,,,,5766.446806,5531,,,5684,-596.214799
资金流量表:金融交易:运用:存款:外汇存款:合计,,,,,,,,,,,,,,,,,,,,6152,10785,5029,11942,6543,8738,8596,-3778.773655
资金流量表:金融交易:运用:存款:外汇存款:非金融机构部门,,,,,,,,,,,,,,,,,,,,4989,9811,4514,8894,7049,5079,,-4011.020271
资金流量表:金融交易:运用:存款:外汇存款:金融机构部门,,,,,,,,,,,,,,,,,,,,111,295,-168,1443,-2086,-287,-461,-179.830701
资金流量表:金融交易:运用:存款:外汇存款:政府部门,,,,,,,,,,,,,,,,,,,,134,131,64,17,107,-73,68,-12.656122
资金流量表:金融交易:运用:存款:外汇存款:住户部门,,,,,,,,,,,,,,,,,,,,333,109,173,309,1148,2413,-48,-220.8747
资金流量表:金融交易:运用:存款:外汇存款:国内合计,,,,,,,,,,,,,,,,,,,,,,4583.121978,10663,,,5157,-4424.381794
资金流量表:金融交易:运用:存款:外汇存款:国外部门,,,,,,,-270.49,-45,,-123.33,-342.64,547.47,1138.3,239.53,880,1222,2016,256,,1245,-310,259.04,2777,-896.92,-2955.5,3439,645.608139
资金流量表:金融交易:运用:存款:其他存款:合计,,,,,,,,,,,,,,,,,,,,19655,18291,29355,30975,38327,14490,15811,-4726.062487
资金流量表:金融交易:运用:存款:其他存款:非金融机构部门,,,,,,,,,,,,,,,,,,,,10753,9723,19769,14359,7149,5671,,-5849.331254
资金流量表:金融交易:运用:存款:其他存款:金融机构部门,,,,,,,,,,,,,,,,,,,,5285,4995,4100,12385,32433,-12146,4436,168.238443
